gene_name	ensembl_transcript	refseq_transcript
RTF2	ENST00000357348	NM_016407.5
FAM209A	ENST00000371328	NM_001012971.4
FAM209B	ENST00000371325	NM_001013646.4
CASS4	ENST00000679887	NM_020356.4
NDUFAF5	ENST00000378106	NM_024120.5
ZNFX1	ENST00000396105	NM_021035.3
PARD6B	ENST00000371610	NM_032521.3
MOCS3	ENST00000244051	NM_014484.5
NAA20	ENST00000334982	NM_016100.5
CRNKL1	ENST00000536226	NM_001278628.2
RIN2	ENST00000255006	NM_018993.4
RNF24	ENST00000358395	NM_001134337.3
NSFL1C	ENST00000216879	NM_016143.5
SCAND1	ENST00000305978	NM_033630.3
HCK	ENST00000375852	NM_002110.5
DDX27	ENST00000618172	NM_017895.8
MTG2	ENST00000370823	NM_015666.4
CDC25B	ENST00000245960	NM_021873.4
TMC2	ENST00000358864	NM_080751.3
SOX12	ENST00000342665	NM_006943.4
CST1	ENST00000304749	NM_001898.3
CST4	ENST00000217423	NM_001899.3
DNAAF9	ENST00000252032	NM_001009984.3
NEURL2	ENST00000372518	NM_080749.4
ESF1	ENST00000617257	NM_001276380.2
DPM1	ENST00000371588	NM_003859.3
KCNG1	ENST00000371571	NM_002237.4
WFDC13	ENST00000305479	NM_172005.2
SPINT4	ENST00000279058	NM_178455.3
NCOA5	ENST00000290231	NM_020967.3
SAMHD1	ENST00000646673	NM_015474.4
GMEB2	ENST00000370077	NM_012384.5
STMN3	ENST00000370053	NM_015894.4
TNFRSF6B	ENST00000369996	NM_003823.4
ARFRP1	ENST00000622789	NM_001267547.3
ZGPAT	ENST00000355969	NM_181485.3
SLC2A4RG	ENST00000266077	NM_020062.4
CPXM1	ENST00000380605	NM_019609.5
C20orf141	ENST00000603872	NM_001256538.2
TMEM239	ENST00000380585	NM_001167670.3
PCED1A	ENST00000360652	NM_022760.6
VPS16	ENST00000380445	NM_022575.4
MANBAL	ENST00000373606	NM_001003897.2
TCF15	ENST00000246080	NM_004609.4
BCAS4	ENST00000371608	NM_198799.4
SPATA25	ENST00000372519	NM_080608.4
DBNDD2	ENST00000372710	NM_001048225.4
C20orf204	ENST00000636176	NM_001387010.1
TRIB3	ENST00000217233	NM_021158.5
SRMS	ENST00000217188	NM_080823.4
DUSP15	ENST00000339738	NM_080611.5
ZHX3	ENST00000683867	NM_001384317.1
DLGAP4	ENST00000339266	NM_001365621.2
LZTS3	ENST00000337576	NM_001365618.1
TMEM74B	ENST00000429036	NM_001304748.2
PTPRA	ENST00000399903	NM_001385305.1
RAD21L1	ENST00000683101	NM_001384355.1
ZNF831	ENST00000371030	NM_178457.3
CBFA2T2	ENST00000342704	NM_001032999.3
ACTL10	ENST00000677665	NM_001024675.2
PLCG1	ENST00000685551	NM_002660.3
PEDS1	ENST00000371652	NM_199129.4
CEBPB	ENST00000303004	NM_005194.4
PTPN1	ENST00000371621	NM_002827.4
SRC	ENST00000373578	NM_198291.3
NXT1	ENST00000254998	NM_013248.3
GZF1	ENST00000338121	NM_022482.5
NAPB	ENST00000377026	NM_022080.3
CSTL1	ENST00000347397	NM_138283.1
CST11	ENST00000377009	NM_130794.2
GHRH	ENST00000373614	NM_021081.6
PLCB4	ENST00000378473	NM_001377142.1
ANKEF1	ENST00000378392	NM_022096.6
OCSTAMP	ENST00000279028	NM_080721.3
SLC13A3	ENST00000279027	NM_022829.6
HRH3	ENST00000340177	NM_007232.3
RALGAPA2	ENST00000202677	NM_020343.4
ERGIC3	ENST00000348547	NM_015966.3
RAB5IF	ENST00000344795	NM_018840.5
UBE2V1	ENST00000371674	NM_001032288.3
ADAM33	ENST00000356518	NM_025220.5
SLC12A5	ENST00000243964	NM_020708.5
RRBP1	ENST00000377813	NM_001365613.2
SGK2	ENST00000373100	NM_170693.3
KAT14	ENST00000688188	NM_001392073.1
TGM3	ENST00000381458	NM_003245.4
TGM6	ENST00000202625	NM_198994.3
SNRPB	ENST00000381342	NM_003091.4
RALGAPB	ENST00000262879	NM_020336.4
SLC32A1	ENST00000217420	NM_080552.3
ACTR5	ENST00000243903	NM_024855.4
EFCAB8	ENST00000400522	NM_001143967.2
CNBD2	ENST00000373973	NM_001365709.1
COL20A1	ENST00000358894	NM_020882.4
WFDC10B	ENST00000330523	NM_172006.2
TAF4	ENST00000252996	NM_003185.4
C20orf202	ENST00000400633	NM_001394958.1
ARHGAP40	ENST00000373345	NM_001164431.3
WFDC8	ENST00000289953	NM_130896.3
PIGT	ENST00000279036	NM_015937.6
ADIG	ENST00000537425	NM_001393816.1
CYP24A1	ENST00000216862	NM_000782.5
BCAS1	ENST00000688948	NM_001366298.2
FASTKD5	ENST00000380266	NM_021826.5
TP53RK	ENST00000372114	NM_033550.4
PRPF6	ENST00000266079	NM_012469.4
SPAG4	ENST00000374273	NM_003116.3
ZNF334	ENST00000692313	NM_001353824.2
GSS	ENST00000651619	NM_000178.4
TRPC4AP	ENST00000252015	NM_015638.3
CTCFL	ENST00000243914	NM_001386993.1
PCK1	ENST00000319441	NM_002591.4
ZBP1	ENST00000371173	NM_030776.3
ZMYND8	ENST00000471951	NM_001281775.3
CABLES2	ENST00000279101	NM_031215.3
CIMIP1	ENST00000371168	NM_178456.3
ANKRD60	ENST00000457363	NM_001304369.2
CD40	ENST00000372285	NM_001250.6
MATN4	ENST00000372756	NM_001393530.1
ADA	ENST00000372874	NM_000022.4
CCN5	ENST00000190983	NM_003881.4
SUN5	ENST00000356173	NM_080675.4
BPIFB2	ENST00000170150	NM_025227.3
BPIFB6	ENST00000349552	NM_174897.2
BPIFB4	ENST00000375483	NM_182519.3
BPIFA2	ENST00000354932	NM_080574.4
BPIFA3	ENST00000375454	NM_178466.5
BPIFB1	ENST00000253354	NM_033197.3
CDK5RAP1	ENST00000346416	NM_016408.4
SNTA1	ENST00000217381	NM_003098.3
BPIFB3	ENST00000375494	NM_001376932.3
DNMT3B	ENST00000328111	NM_006892.4
PYGB	ENST00000216962	NM_002862.4
ABHD12	ENST00000339157	NM_001042472.3
ASIP	ENST00000374954	NM_001672.3
AHCY	ENST00000217426	NM_000687.4
MAP1LC3A	ENST00000360668	NM_032514.4
PIGU	ENST00000217446	NM_080476.5
DYNLRB1	ENST00000357156	NM_014183.4
ITCH	ENST00000374864	NM_031483.7
GINS1	ENST00000262460	NM_021067.5
FOXA2	ENST00000419308	NM_021784.5
POLR3F	ENST00000377603	NM_006466.4
RBBP9	ENST00000337227	NM_006606.3
SEC23B	ENST00000650089	NM_006363.6
SMIM26	ENST00000411646	NM_001348957.2
RBCK1	ENST00000356286	NM_031229.4
SPO11	ENST00000371263	NM_012444.3
RAE1	ENST00000395841	NM_003610.4
RBM38	ENST00000356208	NM_017495.6
ACOT8	ENST00000217455	NM_005469.4
DEFB121	ENST00000376314	NM_001011878.3
DEFB123	ENST00000376309	NM_153324.4
DEFB124	ENST00000317676	NM_001037500.2
REM1	ENST00000201979	NM_014012.6
TM9SF4	ENST00000398022	NM_014742.4
KIF3B	ENST00000375712	NM_004798.4
NOL4L	ENST00000621426	NM_001256798.2
SULF2	ENST00000688720	NM_001387048.1
HELZ2	ENST00000467148	NM_001037335.2
YWHAB	ENST00000353703	NM_139323.4
PABPC1L	ENST00000217073	NM_001372179.1
TOMM34	ENST00000372813	NM_006809.5
KCNS1	ENST00000537075	NM_001322799.2
WFDC12	ENST00000372785	NM_080869.2
PI3	ENST00000243924	NM_002638.4
SEMG1	ENST00000372781	NM_003007.5
SEMG2	ENST00000372769	NM_003008.3
STK4	ENST00000372806	NM_006282.5
DEFB116	ENST00000400549	NM_001037731.1
DEFB118	ENST00000253381	NM_054112.3
DEFB119	ENST00000376321	NM_153289.4
PAX1	ENST00000613128	NM_001257096.2
ZNF341	ENST00000375200	NM_001282933.2
ZNF133	ENST00000425686	NM_001352452.2
CHGB	ENST00000378961	NM_001819.3
TRMT6	ENST00000203001	NM_015939.5
MCM8	ENST00000610722	NM_032485.6
CRLS1	ENST00000378863	NM_019095.6
LRRN4	ENST00000378858	NM_152611.5
ATRN	ENST00000262919	NM_139321.3
GFRA4	ENST00000290417	NM_022139.4
SMOX	ENST00000305958	NM_175839.3
FERMT1	ENST00000217289	NM_017671.5
DZANK1	ENST00000699568	NM_001367614.1
MCTS2	ENST00000394552	NM_001397496.1
ADNP	ENST00000621696	NM_001282531.3
WFDC5	ENST00000372789	NM_145652.4
EBF4	ENST00000609451	NM_001395167.1
TTLL9	ENST00000535842	NM_001008409.5
MYT1	ENST00000328439	NM_004535.3
NPBWR2	ENST00000684052	NM_005286.4
PCMTD2	ENST00000308824	NM_018257.3
SSTR4	ENST00000255008	NM_001052.4
THBD	ENST00000377103	NM_000361.3
CD93	ENST00000246006	NM_012072.4
RGS19	ENST00000395042	NM_005873.3
LKAAEAR1	ENST00000302096	NM_001353425.2
EMILIN3	ENST00000332312	NM_052846.2
GPCPD1	ENST00000379019	NM_019593.5
LIME1	ENST00000309546	NM_017806.4
ABHD16B	ENST00000369916	NM_080622.4
TPD52L2	ENST00000346249	NM_003288.4
DNAJC5	ENST00000360864	NM_025219.3
UCKL1	ENST00000354216	NM_017859.4
ZNF512B	ENST00000369888	NM_020713.3
SAMD10	ENST00000369886	NM_080621.5
SEL1L2	ENST00000284951	NM_025229.2
MACROD2	ENST00000684519	NM_001351661.2
FLRT3	ENST00000341420	NM_198391.3
L3MBTL1	ENST00000418998	NM_001377303.1
RPN2	ENST00000237530	NM_002951.5
WFDC6	ENST00000372670	NM_080827.2
SNAP25	ENST00000254976	NM_130811.4
POFUT1	ENST00000375749	NM_015352.2
NANP	ENST00000304788	NM_152667.3
ZNF337	ENST00000252979	NM_015655.4
CEP250	ENST00000397527	NM_007186.6
HNF4A	ENST00000316673	NM_175914.5
CTSA	ENST00000646241	NM_000308.4
EEF1A2	ENST00000217182	NM_001958.5
KCNQ2	ENST00000359125	NM_172107.4
BLCAP	ENST00000373537	NM_006698.4
NNAT	ENST00000649451	NM_005386.4
NINL	ENST00000278886	NM_025176.6
OPRL1	ENST00000336866	NM_182647.4
SIGLEC1	ENST00000344754	NM_023068.4
EDEM2	ENST00000374492	NM_018217.3
UQCC1	ENST00000374385	NM_018244.5
HAO1	ENST00000378789	NM_017545.3
TMX4	ENST00000246024	NM_021156.4
PLCB1	ENST00000338037	NM_015192.4
TSHZ2	ENST00000371497	NM_173485.6
ZNF217	ENST00000371471	NM_006526.3
KIF16B	ENST00000354981	NM_024704.5
TP53INP2	ENST00000374810	NM_021202.3
GGT7	ENST00000336431	NM_178026.3
ACSS2	ENST00000360596	NM_018677.4
MYH7B	ENST00000262873	NM_020884.7
PTPRT	ENST00000373187	NM_007050.6
HM13	ENST00000398174	NM_178581.3
GNAS	ENST00000371075	NM_016592.5
GNAS	ENST00000371100	NM_080425.4
GNAS	ENST00000371085	NM_000516.7
RTEL1	ENST00000360203	NM_001283009.2
ASXL1	ENST00000375687	NM_015338.6
BPIFA1	ENST00000354297	NM_130852.3
VSTM2L	ENST00000373461	NM_080607.3
TTI1	ENST00000373447	NM_001303457.2
RPRD1B	ENST00000373433	NM_021215.4
TGM2	ENST00000361475	NM_004613.4
KIAA1755	ENST00000279024	NM_001029864.2
RAB22A	ENST00000244040	NM_020673.3
VAPB	ENST00000475243	NM_004738.5
APCDD1L	ENST00000371149	NM_153360.3
STX16	ENST00000371141	NM_001001433.3
PANK2	ENST00000610179	NM_001386393.1
ENSG00000285508	ENST00000713549	NM_001394149.2
ENSG00000285723	ENST00000649912	NM_001394148.2
CTNNBL1	ENST00000361383	NM_030877.5
TMPRSS15	ENST00000284885	NM_002772.3
CXADR	ENST00000284878	NM_001338.5
URB1	ENST00000382751	NM_014825.3
KRTAP25-1	ENST00000416044	NM_001128598.1
JAM2	ENST00000480456	NM_021219.4
CLDN17	ENST00000286808	NM_012131.3
CYYR1	ENST00000652641	NM_001320768.2
MRPS6	ENST00000399312	NM_032476.4
KRTAP24-1	ENST00000340345	NM_001085455.3
SLC5A3	ENST00000381151	NM_006933.7
CHAF1B	ENST00000314103	NM_005441.3
SCAF4	ENST00000286835	NM_020706.2
NCAM2	ENST00000400546	NM_004540.5
CLDN8	ENST00000399899	NM_199328.3
C21orf140	ENST00000410005	NM_001282537.2
HUNK	ENST00000270112	NM_014586.2
C21orf91	ENST00000284881	NM_001100420.2
MORC3	ENST00000400485	NM_015358.3
PAXBP1	ENST00000331923	NM_016631.4
C21orf62	ENST00000479548	NM_001162495.3
ITSN1	ENST00000381318	NM_003024.3
CLDN14	ENST00000399135	NM_001146079.2
ATP5PO	ENST00000290299	NM_001697.3
CHODL	ENST00000299295	NM_024944.3
S100B	ENST00000291700	NM_006272.3
BACH1	ENST00000286800	NM_001186.4
ETS2	ENST00000360938	NM_005239.6
KCNJ15	ENST00000398938	NM_170736.3
CRYZL1	ENST00000381554	NM_145858.3
N6AMT1	ENST00000303775	NM_013240.6
ADAMTS5	ENST00000284987	NM_007038.5
C2CD2	ENST00000380486	NM_015500.2
ZBTB21	ENST00000310826	NM_001098402.2
CBR1	ENST00000290349	NM_001757.4
CBR3	ENST00000290354	NM_001236.4
RUNX1	ENST00000675419	NM_001754.5
EVA1C	ENST00000300255	NM_058187.5
CFAP298	ENST00000290155	NM_021254.4
TCP10L	ENST00000300258	NM_144659.7
SMIM34	ENST00000450895	NM_001367348.2
BTG3	ENST00000348354	NM_006806.5
SUMO3	ENST00000332859	NM_006936.3
MRPL39	ENST00000352957	NM_017446.4
SAMSN1	ENST00000400566	NM_022136.5
SMIM11	ENST00000399292	NM_058182.5
SIM2	ENST00000290399	NM_005069.6
RIPPLY3	ENST00000329553	NM_018962.3
RRP1B	ENST00000340648	NM_015056.3
PDXK	ENST00000291565	NM_003681.5
RRP1	ENST00000497547	NM_003683.6
AGPAT3	ENST00000291572	NM_020132.5
TRAPPC10	ENST00000291574	NM_003274.5
PWP2	ENST00000291576	NM_005049.3
DYRK1A	ENST00000647188	NM_001347721.2
PRDM15	ENST00000398548	NM_001040424.3
PKNOX1	ENST00000291547	NM_004571.5
CBS	ENST00000398165	NM_000071.3
CRYAA	ENST00000291554	NM_000394.4
U2AF1	ENST00000291552	NM_006758.3
SETD4	ENST00000332131	NM_017438.5
SLC19A1	ENST00000311124	NM_194255.4
COL18A1	ENST00000651438	NM_001379500.1
FAM3B	ENST00000357985	NM_058186.4
ADAMTS1	ENST00000284984	NM_006988.5
MIS18A	ENST00000290130	NM_018944.3
MRAP	ENST00000303645	NM_001379228.1
WDR4	ENST00000398208	NM_018669.6
NDUFV3	ENST00000354250	NM_021075.4
GABPA	ENST00000400075	NM_002040.4
CLIC6	ENST00000349499	NM_053277.3
PIGP	ENST00000360525	NM_153682.3
KCNE2	ENST00000290310	NM_172201.2
TPTE	ENST00000618007	NM_199261.4
SYNJ1	ENST00000674351	NM_203446.3
RBM11	ENST00000400577	NM_144770.5
HSPA13	ENST00000285667	NM_006948.5
PSMG1	ENST00000331573	NM_003720.4
BRWD1	ENST00000342449	NM_033656.4
HMGN1	ENST00000380749	NM_004965.7
GET1	ENST00000649170	NM_004627.6
PCP4	ENST00000328619	NM_006198.3
DSCAM	ENST00000400454	NM_001389.5
BACE2	ENST00000330333	NM_012105.5
RIPK4	ENST00000332512	NM_020639.3
ABCG1	ENST00000398449	NM_016818.3
TFF2	ENST00000291526	NM_005423.5
TFF1	ENST00000291527	NM_003225.3
TMPRSS3	ENST00000644384	NM_001256317.3
UBASH3A	ENST00000319294	NM_018961.4
RSPH1	ENST00000291536	NM_080860.4
SLC37A1	ENST00000352133	NM_001320537.2
PDE9A	ENST00000291539	NM_002606.3
SIK1	ENST00000270162	NM_173354.5
HSF2BP	ENST00000291560	NM_007031.2
H2BC12L	ENST00000599962	NM_017445.3
DNMT3L	ENST00000628202	NM_175867.3
AIRE	ENST00000291582	NM_000383.4
PFKL	ENST00000349048	NM_002626.6
CFAP410	ENST00000339818	NM_004928.3
LRRC3	ENST00000291592	NM_030891.6
TSPEAR	ENST00000323084	NM_144991.3
KRTAP10-1	ENST00000400375	NM_198691.3
KRTAP10-2	ENST00000391621	NM_198693.4
KRTAP10-3	ENST00000391620	NM_198696.3
KRTAP10-5	ENST00000400372	NM_198694.3
KRTAP10-6	ENST00000400368	NM_198688.3
KRTAP10-7	ENST00000609664	NM_198689.3
KRTAP10-8	ENST00000334662	NM_198695.2
KRTAP10-10	ENST00000380095	NM_181688.3
KRTAP10-11	ENST00000334670	NM_198692.3
KRTAP12-4	ENST00000391618	NM_198698.1
KRTAP12-3	ENST00000397907	NM_198697.2
KRTAP12-2	ENST00000360770	NM_181684.3
KRTAP12-1	ENST00000391617	NM_181686.2
UBE2G2	ENST00000345496	NM_003343.6
PTTG1IP	ENST00000330938	NM_004339.4
POFUT2	ENST00000349485	NM_133635.6
PCBP3	ENST00000681687	NM_001384156.1
TMPRSS2	ENST00000332149	NM_005656.4
MX1	ENST00000398598	NM_002462.5
MX2	ENST00000330714	NM_002463.2
LCA5L	ENST00000288350	NM_152505.4
ATP5PF	ENST00000284971	NM_001003703.2
SPATC1L	ENST00000291672	NM_001142854.2
LSS	ENST00000397728	NM_002340.6
FTCD	ENST00000397746	NM_206965.2
HLCS	ENST00000674895	NM_001352514.2
KCNE1	ENST00000399286	NM_000219.6
COL6A1	ENST00000361866	NM_001848.3
OLIG2	ENST00000382357	NM_005806.4
OLIG1	ENST00000382348	NM_138983.3
TFF3	ENST00000518498	NM_003226.4
POTED	ENST00000299443	NM_174981.6
UMODL1	ENST00000408910	NM_001004416.3
USP25	ENST00000400183	NM_001283041.3
KRTAP8-1	ENST00000329621	NM_175857.4
KRTAP7-1	ENST00000621162	NM_181606.3
KRTAP11-1	ENST00000332378	NM_175858.3
KRTAP19-8	ENST00000382822	NM_001099219.1
SOD1	ENST00000270142	NM_000454.5
DOP1B	ENST00000691173	NM_001320714.2
ERVH48-1	ENST00000447535	NM_001308491.2
LIPI	ENST00000681601	NM_001302998.2
KRTAP10-9	ENST00000397911	NM_198690.3
PRMT2	ENST00000355680	NM_206962.4
ERG	ENST00000288319	NM_182918.4
KRTAP10-4	ENST00000400374	NM_198687.2
TRPM2	ENST00000397928	NM_003307.4
IGSF5	ENST00000380588	NM_001080444.2
B3GALT5	ENST00000684187	NM_001356336.2
MCM3AP	ENST00000291688	NM_003906.5
YBEY	ENST00000397701	NM_001314025.2
C21orf58	ENST00000291691	NM_058180.5
DIP2A	ENST00000417564	NM_015151.4
GART	ENST00000381815	NM_000819.5
DONSON	ENST00000303071	NM_017613.4
TMEM50B	ENST00000542230	NM_006134.7
IL10RB	ENST00000290200	NM_000628.5
IFNGR2	ENST00000290219	NM_005534.4
VPS26C	ENST00000309117	NM_006052.2
TTC3	ENST00000418766	NM_001330683.2
ITGB2	ENST00000652462	NM_000211.5
KRTAP26-1	ENST00000360542	NM_203405.2
KRTAP27-1	ENST00000382835	NM_001077711.1
KRTAP13-2	ENST00000399889	NM_181621.4
KRTAP13-1	ENST00000355459	NM_181599.3
KRTAP15-1	ENST00000334067	NM_181623.3
KRTAP19-1	ENST00000390689	NM_181607.3
KRTAP19-2	ENST00000334055	NM_181608.2
KRTAP19-3	ENST00000334063	NM_181609.4
KRTAP19-4	ENST00000334058	NM_181610.3
KRTAP19-5	ENST00000334151	NM_181611.3
KRTAP19-6	ENST00000334046	NM_181612.3
KRTAP19-7	ENST00000334849	NM_181614.3
KRTAP22-2	ENST00000382830	NM_001164434.1
KRTAP6-3	ENST00000391624	NM_181605.4
KRTAP22-1	ENST00000334680	NM_181620.2
KRTAP20-1	ENST00000334664	NM_181615.2
KRTAP20-4	ENST00000382828	NM_001350977.1
KRTAP20-2	ENST00000330798	NM_181616.3
KRTAP20-3	ENST00000382826	NM_001128077.1
KRTAP21-3	ENST00000444335	NM_001164435.1
KRTAP21-2	ENST00000333892	NM_181617.3
KRTAP21-1	ENST00000335093	NM_181619.2
KRTAP23-1	ENST00000334160	NM_181624.1
KRTAP13-3	ENST00000390690	NM_181622.2
TIAM1	ENST00000541036	NM_001353694.2
SH3BGR	ENST00000333634	NM_007341.3
GATD3	ENST00000291577	NM_004649.8
KRTAP13-4	ENST00000334068	NM_181600.3
KRTAP6-2	ENST00000334897	NM_181604.2
KRTAP6-1	ENST00000329122	NM_181602.2
ICOSLG	ENST00000407780	NM_015259.6
IFNAR2	ENST00000342136	NM_001289125.3
PCNT	ENST00000359568	NM_006031.6
IFNAR1	ENST00000270139	NM_000629.3
SON	ENST00000356577	NM_138927.4
ADARB1	ENST00000348831	NM_001112.4
NRIP1	ENST00000318948	NM_003489.4
RCAN1	ENST00000313806	NM_004414.7
GRIK1	ENST00000327783	NM_001330994.2
APP	ENST00000346798	NM_000484.4
KRTAP10-12	ENST00000400365	NM_198699.1
LTN1	ENST00000361371	NM_015565.3
RWDD2B	ENST00000493196	NM_016940.3
USP16	ENST00000399976	NM_006447.3
CCT8	ENST00000286788	NM_006585.4
MAP3K7CL	ENST00000399928	NM_001286620.2
COL6A2	ENST00000397763	NM_058174.3
COL6A2	ENST00000300527	NM_001849.4
DNAJC28	ENST00000381947	NM_001040192.3
SLX9	ENST00000291634	NM_058190.4
KCNJ6	ENST00000609713	NM_002240.5
CSTB	ENST00000291568	NM_000100.4
ENSG00000286224	ENST00000652508	NM_001414902.1
CCT8L2	ENST00000359963	NM_014406.5
MED15	ENST00000263205	NM_001003891.3
OSM	ENST00000215781	NM_020530.6
DRG1	ENST00000331457	NM_004147.4
HORMAD2	ENST00000336726	NM_152510.4
NCF4	ENST00000248899	NM_000631.5
SFI1	ENST00000400288	NM_001007467.3
CACNA1I	ENST00000402142	NM_021096.4
TNRC6B	ENST00000454349	NM_001162501.2
ISX	ENST00000404699	NM_001303508.2
MCAT	ENST00000290429	NM_173467.5
ENTHD1	ENST00000325157	NM_152512.4
LIF	ENST00000249075	NM_002309.5
CBX7	ENST00000216133	NM_175709.5
PNPLA3	ENST00000216180	NM_025225.3
EFCAB6	ENST00000262726	NM_022785.4
TBC1D22A	ENST00000337137	NM_014346.5
ZBED4	ENST00000216268	NM_014838.3
RPL3	ENST00000216146	NM_000967.4
GTSE1	ENST00000454366	NM_016426.7
EIF4ENIF1	ENST00000330125	NM_019843.4
SAMM50	ENST00000350028	NM_015380.5
TTC38	ENST00000381031	NM_017931.4
SLC25A17	ENST00000435456	NM_006358.4
TRIOBP	ENST00000644935	NM_001039141.3
TTLL12	ENST00000216129	NM_015140.4
PRR5	ENST00000336985	NM_181333.4
PIM3	ENST00000360612	NM_001001852.4
DENND6B	ENST00000413817	NM_001001794.4
CERK	ENST00000216264	NM_022766.6
PPP6R2	ENST00000612753	NM_001242898.2
PRR14L	ENST00000327423	NM_173566.3
RTL6	ENST00000341255	NM_032287.3
FAM83F	ENST00000333407	NM_138435.4
PVALB	ENST00000417718	NM_001315532.2
ALG12	ENST00000330817	NM_024105.4
SYNGR1	ENST00000328933	NM_004711.5
SEZ6L	ENST00000248933	NM_021115.5
IFT27	ENST00000433985	NM_001177701.3
PDGFB	ENST00000331163	NM_002608.4
MPPED1	ENST00000443721	NM_001044370.2
PARVG	ENST00000444313	NM_022141.7
BIK	ENST00000216115	NM_001197.5
TTLL1	ENST00000266254	NM_012263.5
PKDREJ	ENST00000253255	NM_006071.2
ANKRD54	ENST00000215941	NM_138797.4
TSPO	ENST00000337554	NM_000714.6
DNAJB7	ENST00000307221	NM_145174.2
PATZ1	ENST00000266269	NM_014323.3
SHISAL1	ENST00000381176	NM_001099294.2
XPNPEP3	ENST00000357137	NM_022098.4
ZNRF3	ENST00000544604	NM_001206998.2
PACSIN2	ENST00000263246	NM_001184970.3
RFPL3	ENST00000249007	NM_001098535.1
RTCB	ENST00000216038	NM_014306.5
YWHAH	ENST00000248975	NM_003405.4
ASPHD2	ENST00000215906	NM_020437.5
SRRD	ENST00000215917	NM_001013694.3
TFIP11	ENST00000407690	NM_012143.4
CRYBB1	ENST00000647684	NM_001887.4
CRYBA4	ENST00000354760	NM_001886.3
C1QTNF6	ENST00000337843	NM_031910.4
SSTR3	ENST00000610913	NM_001051.5
TMPRSS6	ENST00000676104	NM_001374504.1
SPECC1L	ENST00000314328	NM_015330.6
ADORA2A	ENST00000337539	NM_000675.6
UPB1	ENST00000326010	NM_016327.3
SNRPD3	ENST00000215829	NM_004175.5
LRRC75B	ENST00000318753	NM_207644.3
GGT1	ENST00000400382	NM_001288833.2
TAFA5	ENST00000402357	NM_001082967.3
MAPK1	ENST00000215832	NM_002745.5
MTMR3	ENST00000401950	NM_021090.4
MYO18B	ENST00000335473	NM_032608.7
SGSM3	ENST00000248929	NM_015705.6
MORC2	ENST00000397641	NM_001303256.3
DGCR6	ENST00000331444	NM_005675.6
RRP7A	ENST00000323013	NM_015703.5
DNAL4	ENST00000216068	NM_005740.3
NPTXR	ENST00000333039	NM_014293.4
CBX6	ENST00000407418	NM_014292.5
APOBEC3B	ENST00000333467	NM_004900.5
APOBEC3C	ENST00000361441	NM_014508.3
APOBEC3F	ENST00000308521	NM_145298.6
APOBEC3G	ENST00000407997	NM_021822.4
TAB1	ENST00000216160	NM_006116.3
MGAT3	ENST00000341184	NM_002409.5
MIEF1	ENST00000325301	NM_019008.6
RPS19BP1	ENST00000334678	NM_194326.4
SLC25A18	ENST00000327451	NM_031481.3
ATP6V1E1	ENST00000253413	NM_001696.4
BCL2L13	ENST00000317582	NM_015367.4
MICAL3	ENST00000441493	NM_015241.3
ACR	ENST00000216139	NM_001097.3
TRMU	ENST00000645190	NM_018006.5
GRAMD4	ENST00000406902	NM_015124.5
CELSR1	ENST00000674500	NM_001378328.1
BID	ENST00000622694	NM_001196.4
CRELD2	ENST00000328268	NM_024324.5
PARVB	ENST00000338758	NM_013327.5
ZC3H7B	ENST00000352645	NM_017590.6
TEF	ENST00000266304	NM_003216.4
TOB2	ENST00000327492	NM_016272.4
PHF5A	ENST00000216252	NM_032758.4
POLR3H	ENST00000355209	NM_001018050.4
PMM1	ENST00000216259	NM_002676.3
DESI1	ENST00000263256	NM_015704.3
XRCC6	ENST00000360079	NM_001469.5
SNU13	ENST00000401959	NM_001003796.2
HSCB	ENST00000216027	NM_172002.5
COMT	ENST00000361682	NM_000754.4
ARVCF	ENST00000263207	NM_001670.3
TANGO2	ENST00000327374	NM_152906.7
ZDHHC8	ENST00000334554	NM_013373.4
CCDC188	ENST00000439765	NM_001365892.2
HIRA	ENST00000263208	NM_003325.4
UFD1	ENST00000263202	NM_005659.7
CDC45	ENST00000263201	NM_003504.5
SEPTIN5	ENST00000455784	NM_002688.6
GP1BB	ENST00000366425	NM_000407.5
GNB1L	ENST00000329517	NM_053004.3
RTN4R	ENST00000043402	NM_023004.6
DGCR6L	ENST00000248879	NM_033257.4
TXNRD2	ENST00000400521	NM_006440.5
PANX2	ENST00000395842	NM_052839.4
TRABD	ENST00000380909	NM_001320485.2
TUBGCP6	ENST00000248846	NM_020461.4
HDAC10	ENST00000216271	NM_032019.6
MAPK12	ENST00000215659	NM_002969.6
MAPK11	ENST00000330651	NM_002751.7
C22orf39	ENST00000399562	NM_173793.5
MEI1	ENST00000401548	NM_152513.4
TNFRSF13C	ENST00000291232	NM_052945.4
CENPM	ENST00000215980	NM_024053.5
WBP2NL	ENST00000328823	NM_152613.3
NAGA	ENST00000396398	NM_000262.3
PHETA2	ENST00000321753	NM_001002034.3
CCDC134	ENST00000255784	NM_024821.5
HMGXB4	ENST00000216106	NM_001003681.3
MCM5	ENST00000216122	NM_006739.4
HMOX1	ENST00000216117	NM_002133.3
GUCD1	ENST00000435822	NM_001284254.2
CACNG2	ENST00000300105	NM_006078.5
SLC5A4	ENST00000266086	NM_014227.3
LARGE1	ENST00000397394	NM_133642.5
APOBEC3H	ENST00000442487	NM_181773.5
CIMIP4	ENST00000381821	NM_001163857.2
